@relation arff7884
@attribute 920 NUMERIC
@attribute 921 NUMERIC
@attribute 922 NUMERIC
@attribute 923 NUMERIC
@attribute 924 NUMERIC
@attribute 925 NUMERIC
@attribute 926 NUMERIC
@attribute 927 NUMERIC
@attribute 928 NUMERIC
@attribute 929 NUMERIC
@attribute 930 NUMERIC
@attribute 931 NUMERIC
@attribute 932 NUMERIC
@attribute 933 NUMERIC
@attribute 934 NUMERIC
@attribute 935 NUMERIC
@attribute 936 NUMERIC
@attribute 937 NUMERIC
@attribute 938 NUMERIC
@attribute 939 NUMERIC
@attribute 940 NUMERIC
@attribute 941 NUMERIC
@attribute 942 NUMERIC
@attribute 943 NUMERIC
@attribute 944 NUMERIC
@attribute 945 NUMERIC
@attribute 946 NUMERIC
@attribute 947 NUMERIC
@attribute 948 NUMERIC
@attribute 949 NUMERIC
@attribute 950 NUMERIC
@attribute 951 NUMERIC
@attribute 952 NUMERIC
@attribute 953 NUMERIC
@attribute 954 NUMERIC
@attribute 955 NUMERIC
@attribute 956 NUMERIC
@attribute 957 NUMERIC
@attribute 958 NUMERIC
@attribute 959 NUMERIC
@attribute 960 NUMERIC
@attribute 961 NUMERIC
@attribute 962 NUMERIC
@attribute 963 NUMERIC
@attribute 964 NUMERIC
@attribute 965 NUMERIC
@attribute 966 NUMERIC
@attribute 967 NUMERIC
@attribute 968 NUMERIC
@attribute 969 NUMERIC
@attribute 970 NUMERIC
@attribute 971 NUMERIC
@attribute 972 NUMERIC
@attribute 973 NUMERIC
@attribute 974 NUMERIC
@attribute 975 NUMERIC
@attribute 976 NUMERIC
@attribute 977 NUMERIC
@attribute 978 NUMERIC
@attribute 979 NUMERIC
@attribute 980 NUMERIC
@attribute 981 NUMERIC
@attribute 982 NUMERIC
@attribute 983 NUMERIC
@attribute 984 NUMERIC
@attribute 985 NUMERIC
@attribute 986 NUMERIC
@attribute 987 NUMERIC
@attribute 988 NUMERIC
@attribute 989 NUMERIC
@attribute 990 NUMERIC
@attribute 991 NUMERIC
@attribute 992 NUMERIC
@attribute 993 NUMERIC
@attribute 994 NUMERIC
@attribute 995 NUMERIC
@attribute 996 NUMERIC
@attribute 997 NUMERIC
@attribute 998 NUMERIC
